region,planning_year,reserve_margin
p15,2047,0.138
p15,2048,0.138
p15,2049,0.138
p15,2050,0.138
p16,2025,0.163
p16,2026,0.158
p16,2027,0.159
p16,2028,0.154
p16,2029,0.147
p16,2030,0.145
p16,2031,0.143
p16,2032,0.142
p16,2033,0.144
p16,2034,0.138
p16,2035,0.138
p16,2036,0.138
p16,2037,0.138
p16,2038,0.138
p16,2039,0.138
p16,2040,0.138
p16,2041,0.138
p16,2042,0.138
p16,2043,0.138
p16,2044,0.138
p16,2045,0.138
p16,2046,0.138
p16,2047,0.138
p16,2048,0.138
p16,2049,0.138
p16,2050,0.138
p17,2025,0.163
p17,2026,0.158
p17,2027,0.159
p17,2028,0.154
p17,2029,0.147
p17,2030,0.145
p17,2031,0.143
p17,2032,0.142
p17,2033,0.144
p17,2034,0.138
p17,2035,0.138
p17,2036,0.138
p17,2037,0.138
p17,2038,0.138
p17,2039,0.138
p17,2040,0.138
p17,2041,0.138
p17,2042,0.138
p17,2043,0.138
p17,2044,0.138
p17,2045,0.138
p17,2046,0.138
p17,2047,0.138
p17,2048,0.138
p17,2049,0.138
p17,2050,0.138
p18,2025,0.163
p18,2026,0.158
p18,2027,0.159
p18,2028,0.154
p18,2029,0.147
p18,2030,0.145
p18,2031,0.143
p18,2032,0.142
p18,2033,0.144
p18,2034,0.138
p18,2035,0.138
p18,2036,0.138
p18,2037,0.138
p18,2038,0.138
p18,2039,0.138
p18,2040,0.138
p18,2041,0.138
p18,2042,0.138
p18,2043,0.138
p18,2044,0.138
p18,2045,0.138
p18,2046,0.138
p18,2047,0.138
p18,2048,0.138
p18,2049,0.138
p18,2050,0.138
p19,2025,0.163
p19,2026,0.158
p19,2027,0.159
p19,2028,0.154
p19,2029,0.147
p19,2030,0.145
p19,2031,0.143
p19,2032,0.142
p19,2033,0.144
p19,2034,0.138
p19,2035,0.138
p19,2036,0.138
p19,2037,0.138
p19,2038,0.138
p19,2039,0.138
p19,2040,0.138
p19,2041,0.138
p19,2042,0.138
p19,2043,0.138
p19,2044,0.138
p19,2045,0.138
p19,2046,0.138
p19,2047,0.138
p19,2048,0.138
p19,2049,0.138
p19,2050,0.138
p2,2025,0.163
p2,2026,0.158
p2,2027,0.159
p2,2028,0.154
p2,2029,0.147
p2,2030,0.145
p2,2031,0.143
p2,2032,0.142
p2,2033,0.144
p2,2034,0.138
p2,2035,0.138
p2,2036,0.138
p2,2037,0.138
p2,2038,0.138
p2,2039,0.138
p2,2040,0.138
p2,2041,0.138
p2,2042,0.138
p2,2043,0.138
p2,2044,0.138
p2,2045,0.138
p2,2046,0.138
p2,2047,0.138
p2,2048,0.138
p2,2049,0.138
p2,2050,0.138
p20,2025,0.163
p20,2026,0.158
p20,2027,0.159
p20,2028,0.154
p20,2029,0.147
p20,2030,0.145
p20,2031,0.143
p20,2032,0.142
p20,2033,0.144
p20,2034,0.138
p20,2035,0.138
p20,2036,0.138
p20,2037,0.138
p20,2038,0.138
p20,2039,0.138
