technology,tech_detail,cost_case,basis_year,heat_rate,data_year
Coal_Retrofits,90%-CCS,Advanced,2040,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2042,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2041,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2043,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2048,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2049,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2050,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2047,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2044,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2039,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2038,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2037,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2036,10.871,2023
Coal_Retrofits,90%-CCS,Advanced,2035,10.871,2023
Coal,95%-CCS,Moderate,2024,10.825,2023
Coal,95%-CCS,Advanced,2023,10.825,2023
Coal,99%-CCS,Moderate,2027,10.82,2023
Coal,95%-CCS,Moderate,2025,10.769,2023
Coal,99%-CCS,Advanced,2025,10.761,2023
Coal,99%-CCS,Moderate,2028,10.761,2023
Coal,95%-CCS,Moderate,2026,10.713,2023
Coal,95%-CCS,Advanced,2024,10.713,2023
Coal,99%-CCS,Moderate,2029,10.702,2023
Coal,95%-CCS,Moderate,2027,10.657,2023
Coal,99%-CCS,Advanced,2026,10.643,2023
Coal,99%-CCS,Moderate,2030,10.643,2023
Coal,95%-CCS,Advanced,2025,10.601,2023
Coal,95%-CCS,Moderate,2028,10.601,2023
Coal,99%-CCS,Moderate,2031,10.584,2023
Coal,95%-CCS,Moderate,2029,10.544,2023
Coal,99%-CCS,Advanced,2027,10.525,2023
Coal,99%-CCS,Moderate,2032,10.525,2023
Coal,95%-CCS,Advanced,2026,10.488,2023
Coal,95%-CCS,Moderate,2030,10.488,2023
Coal,99%-CCS,Moderate,2033,10.466,2023
Nuclear,Nuclear,Conservative,2048,10.447,2023
Nuclear,Nuclear,Conservative,2036,10.447,2023
Nuclear,Nuclear,Conservative,2021,10.447,2023
Nuclear,Nuclear,Conservative,2037,10.447,2023
Nuclear,Nuclear,Conservative,2049,10.447,2023
Nuclear,Nuclear,Conservative,2050,10.447,2023
Nuclear,Nuclear,Conservative,2035,10.447,2023
Nuclear,Nuclear,Conservative,2034,10.447,2023
Nuclear,Nuclear,Conservative,2047,10.447,2023
Nuclear,Nuclear,Conservative,2045,10.447,2023
Nuclear,Nuclear,Conservative,2033,10.447,2023
Nuclear,Nuclear,Conservative,2022,10.447,2023
Nuclear,Nuclear,Conservative,2023,10.447,2023
Nuclear,Nuclear,Conservative,2032,10.447,2023
Nuclear,Nuclear,Conservative,2024,10.447,2023
Nuclear,Nuclear,Conservative,2031,10.447,2023
Nuclear,Nuclear,Conservative,2030,10.447,2023
Nuclear,Nuclear,Conservative,2029,10.447,2023
