region,planning_year,value
WECC-Mexico,2041,0.063
WECC-Mexico,2042,0.063
WECC-Mexico,2043,0.063
WECC-Mexico,2044,0.063
WECC-Mexico,2045,0.063
WECC-Mexico,2046,0.063
WECC-Mexico,2047,0.063
WECC-Mexico,2048,0.063
WECC-Mexico,2049,0.063
WECC-Mexico,2050,0.063
WECC-Northwest,2026,0.178
WECC-Northwest,2027,0.174
WECC-Northwest,2028,0.161
WECC-Northwest,2029,0.158
WECC-Northwest,2030,0.155
WECC-Northwest,2031,0.153
WECC-Northwest,2032,0.159
WECC-Northwest,2033,0.15
WECC-Northwest,2034,0.149
WECC-Northwest,2035,0.148
WECC-Northwest,2036,0.148
WECC-Northwest,2037,0.148
WECC-Northwest,2038,0.148
WECC-Northwest,2039,0.148
WECC-Northwest,2040,0.148
WECC-Northwest,2041,0.148
WECC-Northwest,2042,0.148
WECC-Northwest,2043,0.148
WECC-Northwest,2044,0.148
WECC-Northwest,2045,0.148
WECC-Northwest,2046,0.148
WECC-Northwest,2047,0.148
WECC-Northwest,2048,0.148
WECC-Northwest,2049,0.148
WECC-Northwest,2050,0.148
WECC-Rocky Mountain,2026,0.178
WECC-Rocky Mountain,2027,0.17
WECC-Rocky Mountain,2028,0.162
WECC-Rocky Mountain,2029,0.161
WECC-Rocky Mountain,2030,0.157
WECC-Rocky Mountain,2031,0.152
WECC-Rocky Mountain,2032,0.135
WECC-Rocky Mountain,2033,0.119
WECC-Rocky Mountain,2034,0.141
WECC-Rocky Mountain,2035,0.139
WECC-Rocky Mountain,2036,0.139
WECC-Rocky Mountain,2037,0.139
WECC-Rocky Mountain,2038,0.139
WECC-Rocky Mountain,2039,0.139
WECC-Rocky Mountain,2040,0.139
WECC-Rocky Mountain,2041,0.139
WECC-Rocky Mountain,2042,0.139
WECC-Rocky Mountain,2043,0.139
WECC-Rocky Mountain,2044,0.139
WECC-Rocky Mountain,2045,0.139
WECC-Rocky Mountain,2046,0.139
WECC-Rocky Mountain,2047,0.139
WECC-Rocky Mountain,2048,0.139
WECC-Rocky Mountain,2049,0.139
WECC-Rocky Mountain,2050,0.139
WECC-Southwest,2026,0.133
WECC-Southwest,2027,0.137
WECC-Southwest,2028,0.136
WECC-Southwest,2029,0.126
WECC-Southwest,2030,0.122
WECC-Southwest,2031,0.12
WECC-Southwest,2032,0.117
WECC-Southwest,2033,0.123
WECC-Southwest,2034,0.113
WECC-Southwest,2035,0.111
WECC-Southwest,2036,0.111
WECC-Southwest,2037,0.111
WECC-Southwest,2038,0.111
WECC-Southwest,2039,0.111
WECC-Southwest,2040,0.111
WECC-Southwest,2041,0.111
WECC-Southwest,2042,0.111
WECC-Southwest,2043,0.111
WECC-Southwest,2044,0.111
WECC-Southwest,2045,0.111
WECC-Southwest,2046,0.111
WECC-Southwest,2047,0.111
WECC-Southwest,2048,0.111
WECC-Southwest,2049,0.111
WECC-Southwest,2050,0.111
