p99,p133,p128,p131
413,774,866,949
633,638,983,983
726,778,893,983
860,899,983,983
980,983,983,983
983,983,983,983
983,983,983,963
983,736,928,830
983,625,823,608
983,392,608,409
983,231,362,235
983,152,245,120
983,111,142,90
983,73,77,57
983,97,79,76
983,199,127,118
983,268,266,191
983,335,281,213
983,499,430,215
983,498,467,273
983,817,611,331
983,983,879,496
983,983,983,726
983,983,983,983
983,983,983,983
983,983,983,983
678,983,983,983
96,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,0,983,0
911,983,983,983
852,983,983,983
983,983,983,983
983,462,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
970,983,983,983
708,983,983,983
851,983,983,983
853,983,983,983
747,983,983,983
745,983,983,983
892,983,983,983
951,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
740,983,983,983
543,983,983,983
983,983,983,983
983,983,983,983
969,983,983,983
958,983,983,983
978,983,983,983
952,983,983,983
859,983,983,983
922,983,983,983
835,983,983,983
838,983,983,983
674,983,983,983
584,983,983,983
438,983,983,983
326,983,983,983
239,983,983,983
209,983,983,983
141,983,983,983
132,749,983,983
197,463,580,983
201,575,363,983
345,712,491,983
350,831,587,983
361,983,871,983
343,975,983,975
313,983,983,983
322,983,914,983
371,983,983,983
518,983,983,983
606,983,983,983
632,817,788,983
309,445,657,983
462,501,861,871
486,983,983,910
476,983,826,983
781,877,721,983
847,621,638,983
983,305,224,930
983,136,110,446
983,172,277,149
983,260,78,3
636,178,131,0
539,242,161,24
630,316,95,0
687,53,106,0
479,27,176,5
446,31,52,52
343,132,80,63
677,184,191,110
983,312,240,193
983,476,608,248
983,461,692,304
983,556,627,446
983,536,910,392
983,983,571,538
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
983,983,983,983
609,983,983,983
521,983,983,983
291,983,983,983
129,983,983,983
131,983,983,983
93,983,983,983
258,983,983,983
452,983,983,983
706,812,983,959
